epoch,tardiness
1,7672
2,8418
3,8213
4,9487
5,10802
6,10793
7,11635
8,11623
9,11338
10,11295
11,11001
12,11007
13,10620
14,9588
15,8325
16,7338
17,7082
18,7477
19,7118
20,6491
21,7259
22,7123
23,5937
24,6173
25,6413
26,6476
27,7032
28,6619
29,6840
30,7235
31,6760
32,6859
33,7317
34,9342
35,10258
36,11733
37,10412
38,12245
39,11382
40,11090
41,11980
42,11999
43,12991
44,11651
45,11979
46,12505
47,12077
48,13829
49,11815
50,11664
51,11784
52,11657
53,13110
54,11629
55,12330
56,11959
57,12524
58,11963
59,12801
60,12034
61,12870
62,11720
63,11695
64,11196
65,12786
66,11316
67,11706
68,12887
69,11898
70,11921
71,12015
72,11851
73,12707
74,12286
75,11422
76,12061
77,11956
78,11298
79,12567
80,12326
81,12304
82,12003
83,11720
84,12137
85,12334
86,12020
87,13232
88,12435
89,11397
90,12263
91,13478
92,11625
93,12089
94,12599
95,13272
96,12361
97,12162
98,12694
99,12297
100,13632
101,12272
102,12292
103,12889
104,11304
105,12447
106,12937
107,11333
108,11783
109,13189
110,12500
111,12408
112,13545
113,12461
114,12827
115,12716
116,12256
117,12793
118,11951
119,12627
120,12450
121,12054
122,12275
123,12029
124,12458
125,12945
126,10897
127,12730
128,11451
129,11991
130,11254
131,12664
132,12757
133,11834
134,11111
135,13309
136,11118
137,11587
138,11742
139,11544
140,12778
141,11761
142,12804
143,13086
144,11797
145,12479
146,12122
147,12362
148,11209
149,11958
150,11773
151,11765
152,13445
153,12423
154,11496
155,12220
156,12383
157,12929
158,12648
159,12579
160,12766
161,12416
162,11690
163,11253
164,11169
165,11791
166,12264
167,12106
168,13466
169,12809
170,12421
171,11940
172,12232
173,12410
174,12049
175,11912
176,11777
177,12633
178,12096
179,12155
180,12763
181,12230
182,12003
183,11701
184,11781
185,11458
186,11296
187,13076
188,12088
189,11386
190,11054
191,12631
192,12249
193,12217
194,12296
195,12051
196,12587
197,13326
198,12747
199,11245
200,11464
201,11279
202,11978
203,12113
204,12216
205,12617
206,12540
207,11519
208,12435
209,12414
210,11682
211,11973
212,11449
213,12098
214,13146
215,12417
216,12627
217,12110
218,12180
219,11938
220,12870
221,11789
222,12338
223,12598
224,11819
225,12372
226,12824
227,13027
228,11215
229,12352
230,12444
231,12167
232,11249
233,11996
234,12150
235,12424
236,12592
237,14753
238,11695
239,12425
240,12371
241,12935
242,11625
243,13341
244,12451
245,12291
246,12553
247,11712
248,11929
249,13605
250,11773
251,13013
252,11362
253,12404
254,11913
255,12093
256,13563
257,12636
258,12155
259,11701
260,12303
261,11176
262,11921
263,12796
264,13003
265,12431
266,11871
267,12756
268,12209
269,12052
270,12187
271,12390
272,13080
273,12498
274,12066
275,12303
276,11543
277,12400
278,11811
279,12294
280,12281
281,11953
282,11163
283,11924
284,12345
285,12730
286,12204
287,11278
288,12219
289,12479
290,11946
291,11872
292,12208
293,12914
294,11397
295,11605
296,11870
297,12779
298,13167
299,12358
300,11951
301,11921
302,11830
303,11016
304,11745
305,12384
306,11707
307,12831
308,11856
309,12590
310,12432
311,11841
312,12819
313,12320
314,12710
315,12021
316,12132
317,12883
318,13038
319,11928
320,11841
321,11710
322,11900
323,11915
324,12620
325,12517
326,12095
327,13372
328,12086
329,11533
330,11625
331,11708
332,12073
333,12719
334,11426
335,13086
336,14380
337,11728
338,12581
339,12312
340,11628
341,12470
342,12349
343,12436
344,12480
345,12972
346,12395
347,11602
348,11887
349,12515
350,12087
351,12420
352,12438
353,11419
354,12438
355,13522
356,12099
357,11753
358,12482
359,11945
360,11770
361,12519
362,12652
363,12051
364,11812
365,11946
366,11514
367,13566
368,12652
369,12439
370,12164
371,12398
372,12639
373,11831
374,14087
375,11901
376,11166
377,12116
378,11869
379,11934
380,11908
381,12014
382,11966
383,11566
384,12242
385,11622
386,12748
387,12202
388,11562
389,12235
390,12209
391,12025
392,13181
393,12126
394,11973
395,13752
396,12566
397,13460
398,12202
399,11919
400,11921
401,11910
402,12134
403,12007
404,11237
405,11682
406,11201
407,11828
408,11375
409,12330
410,13162
411,12059
412,11775
413,12080
414,12633
415,12346
416,12323
417,12352
418,13198
419,12877
420,11606
421,13107
422,12082
423,12091
424,12512
425,12086
426,12204
427,11505
428,12362
429,12442
430,12485
431,12423
432,12302
433,11467
434,13434
435,12437
436,11969
437,12258
438,12390
439,12593
440,12179
441,12370
442,11748
443,11341
444,11197
445,12790
446,12286
447,11699
448,12452
449,10988
450,12654
451,12245
452,11768
453,10659
454,13153
455,12144
456,12123
457,12453
458,11971
459,11446
460,12284
461,11927
462,12140
463,12856
464,11764
465,11700
466,12286
467,12569
468,12653
469,12775
470,12492
471,12181
472,11936
473,11619
474,12248
475,12179
476,11497
477,13648
478,12223
479,11254
480,12683
481,11821
482,11305
483,11528
484,12768
485,11708
486,13053
487,11516
488,11935
489,13502
490,12450
491,12162
492,12063
493,12463
494,11941
495,12508
496,11239
497,11553
498,12612
499,11819
500,12032
501,12704
502,11831
503,13808
504,11683
